"chamber","district_number","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","pct_D_20_PRES","pct_D_22_GOV","pct_D_24_PRES","pct_R_20_PRES","pct_R_22_GOV","pct_R_24_PRES","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
"House",1,165065,19858,1964,2521,4134,130,194207,0.84994361686242,0.102251721101711,0.0101129207495095,0.0129809945058623,0.0219559542138028,"CVAP",22,0.342994926460531,0.648813610231896,"R",30.6,30.6,0.349644054181325,0.363559164395416,0.329388243632692,0.635785712307138,0.636432748065056,0.661517990277694,22291,2,29
"House",2,121652,29750,9693,5692,3819,134,171478,0.709432113740538,0.173491643242865,0.0565262016118686,0.0331937624651559,0.0230525198567746,"CVAP",22,0.480204486956343,0.5087208315777,"R",2.9,2.9,0.480370269053943,0.507144162251051,0.466651758260189,0.50174280596172,0.489067543699373,0.522036488324854,21904,15,16
"House",3,161274,10820,3526,6772,1951,54,184893,0.872255845272671,0.0585203333820101,0.019070489418204,0.0366265894328071,0.0108441098365,"CVAP",22,0.384146239312865,0.609395743304963,"R",22.5,22.5,0.387907364275029,0.400692968066089,0.373992312455171,0.602940155402804,0.596739666168887,0.618951575824082,21898,6,25
"House",4,153061,17335,4745,8521,1793,646,186461,0.820874070180896,0.0929685027968315,0.025447680748253,0.0456985643110355,0.0130804833182274,"CVAP",22,0.492949794235457,0.498621613432727,"R",0.6,0.6,0.498471084953941,0.518046148180173,0.477640971903858,0.489675025588536,0.47886342892828,0.512973999607047,23883,16,15
"House",5,98391,46455,12520,6264,5907,348,170361,0.577544156232941,0.272685649884657,0.0734909985266581,0.036768978815574,0.0367161498230229,"CVAP",22,0.690493478267555,0.297975084644604,"D",39.3,-39.3,0.690856115891515,0.720138778212311,0.675489509483197,0.293423011291435,0.276318209123564,0.311079559081708,23022,28,3
"House",6,46511,13560,1852,984,98541,169,161326,0.288304427060734,0.0840534073862862,0.0114798606548232,0.00609945080148271,0.611866655095893,"CVAP",22,0.648975175185578,0.339762549731098,"D",30.9,-30.9,0.657378657378657,0.679744092721515,0.62938897532107,0.326232326232326,0.317281433901304,0.357768219395381,20754,26,5
"House",7,147315,32637,4223,3184,8331,232,196648,0.749130425938733,0.165966600219682,0.0214749196533908,0.0161913673162198,0.0435448110329116,"CVAP",22,0.358788034634623,0.631985587694791,"R",27.3,27.3,0.366054211084305,0.37722416385379,0.345936881800198,0.618694225776561,0.619559697702901,0.644844213649852,20172,5,26
"House",8,118745,38466,14934,8148,7541,598,189054,0.628100965861606,0.203465676473389,0.0789933035005871,0.0430987971690628,0.0430511917229998,"CVAP",22,0.615734085875345,0.371012197193493,"D",24.5,-24.5,0.633825944170772,0.646628026496117,0.591241186417245,0.345658263305322,0.349289058931019,0.394550733268816,25438,22,9
"House",9,98431,40472,11313,4056,5733,316,160852,0.611935195086166,0.251610175813792,0.0703317335190113,0.0252157262576779,0.0376059980603288,"CVAP",22,0.517424117301039,0.467869870045911,"D",5,-5,0.517219551969788,0.537412724562642,0.507532096335864,0.459027122135439,0.457644936063387,0.477403710992409,24230,18,13
"House",10,140750,23740,6039,4866,2666,215,178604,0.788056258538443,0.132919755436608,0.0338122326487649,0.0272446305793823,0.0161306577680231,"CVAP",22,0.3972999885569,0.592495580545586,"R",19.5,19.5,0.389769410753115,0.4183394893207,0.390545527076892,0.593694967383486,0.577324554360045,0.599481400219408,10680,9,22
"House",11,36830,69771,27380,4413,3891,333,142712,0.258072201356578,0.488893716015472,0.191854924603397,0.0309224171758507,0.029598071640787,"CVAP",22,0.720089249265534,0.267378782463873,"D",45.3,-45.3,0.750208512440173,0.747557871055592,0.691295306783186,0.233598090667625,0.249146488267914,0.293385275459977,24234,29,2
"House",12,119809,29734,11678,12163,4180,333,178100,0.67270634475014,0.166951151038742,0.0655699045480067,0.0682930937675463,0.0253396967995508,"CVAP",22,0.58388792208508,0.404048577204171,"D",18,-18,0.584684869636625,0.606530198266026,0.572168310218835,0.398532128926299,0.390066218707029,0.413797980591679,24233,20,11
"House",13,109544,27871,9955,14988,3097,188,166227,0.659002448459035,0.16766830899914,0.0598879845031192,0.0901658575321699,0.0197621325055496,"CVAP",22,0.499978495920294,0.488864235702142,"D",1.1,-1.1,0.50720607630337,0.517795179838769,0.487456363769519,0.478000413137781,0.478913105009907,0.499271712330439,16649,17,14
"House",14,118456,24166,6889,9382,1941,134,161707,0.732534769676019,0.149443128621519,0.0426017426580173,0.0580185149684306,0.012831850198198,"CVAP",22,0.414255052290536,0.575597413875292,"R",16.1,16.1,0.416565724712124,0.434342323609973,0.403056080420024,0.567380671276775,0.563018573684947,0.585995205269722,4260,10,21
"House",15,118468,29905,7835,5279,3103,318,165619,0.715304403480277,0.180565031789831,0.0473073741539316,0.0318743622410472,0.0206558426267518,"CVAP",22,0.353057295415896,0.637341250349983,"R",28.4,28.4,0.35619142821442,0.371036810902612,0.342500471273276,0.627722937231871,0.626108338456088,0.647766862855986,23050,3,28
"House",16,90179,54623,11508,2902,13928,1014,174747,0.516054638992372,0.312583334763973,0.0658552078147264,0.0166068659261675,0.0855064750753947,"CVAP",22,0.462173164647064,0.528319673759211,"R",6.6,6.6,0.472933273070918,0.479813602217491,0.447972891649925,0.511987427068781,0.517012814847547,0.542139226560258,23001,13,18
"House",17,136452,33310,5768,5818,1764,215,183899,0.741994246842017,0.181132034431944,0.0313650427680412,0.0316369311415505,0.0107613418235009,"CVAP",22,0.480621366394366,0.510191349799007,"R",3,3,0.471304999866099,0.500127331762908,0.475526566974228,0.51425376931523,0.497532947093653,0.514489341393573,24239,14,17
"House",18,131868,38363,8305,7785,3562,255,190364,0.692715009140384,0.201524447899813,0.0436269462713538,0.0408953373537013,0.0200510600743838,"CVAP",22,0.62026219535224,0.369155519409714,"D",25.1,-25.1,0.612577118735794,0.641266632059233,0.613602515306967,0.37314283652632,0.356183346538801,0.373647947286868,23039,23,8
"House",19,114751,45481,6464,3673,2809,419,174057,0.659272537157368,0.261299459372504,0.0371372596333385,0.0211022825855898,0.0185456488391734,"CVAP",22,0.389839174512623,0.600207253986004,"R",21,21,0.382830983148706,0.416508729763783,0.380008492569002,0.600838721249028,0.580219594058043,0.609885350318471,10708,8,23
"House",20,73693,81807,5919,5342,6703,264,174075,0.423340514146201,0.469952606635071,0.0340025850926325,0.030687921872756,0.0400229786011777,"CVAP",22,0.732980801108734,0.255429174423414,"D",47.8,-47.8,0.74568685248602,0.768415790492163,0.708910280728376,0.239769820971867,0.228504160485067,0.276721358118361,20571,30,1
"House",21,61333,84005,8089,3260,3524,250,161031,0.380876973998795,0.521669740608951,0.0502325639162646,0.0202445491861815,0.0234364811744323,"CVAP",22,0.613617369827646,0.3754894306049,"D",23.8,-23.8,0.634588681725194,0.646853531621889,0.58651363298175,0.34927869582269,0.350018078634198,0.401330473981356,22293,21,10
"House",22,41017,81143,16257,3688,2893,228,146246,0.280465790517347,0.554839106710611,0.111162014687581,0.025217783734256,0.0213407546189297,"CVAP",22,0.629572145774972,0.360104995444883,"D",26.9,-26.9,0.666449848669888,0.651595507621,0.6001216134045,0.318164923272978,0.3444157233265,0.388919667590028,14554,25,6
"House",23,49576,80213,5812,2275,8206,339,146568,0.338245728944927,0.547274984989902,0.03965394902025,0.0155218055782981,0.058300584029256,"CVAP",22,0.529633092901298,0.460876891588501,"D",6.9,-6.9,0.559522357475667,0.55076105426805,0.504124479930738,0.42451150196375,0.446220036877689,0.486388013756283,24242,19,12
"House",24,41818,69203,11365,3370,3587,165,129845,0.322060918787785,0.532966228965305,0.0875274365589742,0.025954022103277,0.0288959913743309,"CVAP",22,0.624313880369726,0.36405252487896,"D",26,-26,0.651426651090592,0.654357823278222,0.595735523555045,0.33143433244251,0.341317201357714,0.391729282857809,14555,24,7
"House",25,103691,55822,8794,3930,2802,302,175880,0.589555378667273,0.317386854673641,0.05,0.022344780532181,0.0176483966340687,"CVAP",22,0.358410913415809,0.63254067971624,"R",27.4,27.4,0.371977286971815,0.364321547148777,0.348672409771321,0.612522100300283,0.632649104524635,0.64249575702002,24370,4,27
"House",26,41817,63751,11595,4421,4618,157,126723,0.329987452948557,0.503073633042147,0.0914987808053787,0.0348871159931504,0.0376806104653457,"CVAP",22,0.664255736060647,0.323521891993646,"D",34.1,-34.1,0.685890257558791,0.695519990822004,0.637806347930896,0.296630039193729,0.299747605116733,0.348854961832061,24229,27,4
"House",27,120990,37260,7972,7355,3582,155,177918,0.680032374464641,0.209422318146562,0.0448071583538484,0.0413392686518508,0.0210040580492137,"CVAP",22,0.45048408619395,0.538832425096373,"R",8.8,8.8,0.452808353273874,0.473318036246733,0.437904977627597,0.530337176419404,0.522914953924684,0.551038785020701,16648,12,19
"House",28,151908,14253,4396,6362,1735,240,179332,0.84707692994,0.0794782860839114,0.0245131934066424,0.0354761001940535,0.011013093034149,"CVAP",22,0.387536851574134,0.605947810445036,"R",21.8,21.8,0.378251105340726,0.410041354569763,0.380927473193024,0.612190329145905,0.587151849329857,0.612224531652191,14703,7,24
"House",29,116569,39217,11851,5445,2464,574,176755,0.659494780911431,0.221872082826511,0.067047608271336,0.0308053520409607,0.0171876325987949,"CVAP",22,0.418604353689995,0.573088720671091,"R",15.4,15.4,0.431520379555747,0.434635712852077,0.404130661176078,0.555074401552728,0.562442853638411,0.587418813746611,4230,11,20
"House",30,155540,26107,2429,2104,5598,357,192812,0.806692529510611,0.135401323569072,0.0125977636246707,0.0109121838889696,0.0308850071572309,"CVAP",22,0.233682930912951,0.759259541176434,"R",52.6,52.6,0.240446811052515,0.252032344078562,0.221126284260363,0.747205297561142,0.744726744564157,0.772553061290219,20249,1,30
"Senate",1,165065,19858,1964,2521,4134,130,194207,0.84994361686242,0.102251721101711,0.0101129207495095,0.0129809945058623,0.0219559542138028,"CVAP",22,0.342994926460531,0.648813610231896,"R",30.6,30.6,0.349644054181325,0.363559164395416,0.329388243632692,0.635785712307138,0.636432748065056,0.661517990277694,16506,2,29
"Senate",2,121652,29750,9693,5692,3819,134,171478,0.709432113740538,0.173491643242865,0.0565262016118686,0.0331937624651559,0.0230525198567746,"CVAP",22,0.480204486956343,0.5087208315777,"R",2.9,2.9,0.480370269053943,0.507144162251051,0.466651758260189,0.50174280596172,0.489067543699373,0.522036488324854,20749,15,16
"Senate",3,161274,10820,3526,6772,1951,54,184893,0.872255845272671,0.0585203333820101,0.019070489418204,0.0366265894328071,0.0108441098365,"CVAP",22,0.384146239312865,0.609395743304963,"R",22.5,22.5,0.387907364275029,0.400692968066089,0.373992312455171,0.602940155402804,0.596739666168887,0.618951575824082,4262,6,25
"Senate",4,153061,17335,4745,8521,1793,646,186461,0.820874070180896,0.0929685027968315,0.025447680748253,0.0456985643110355,0.0130804833182274,"CVAP",22,0.492949794235457,0.498621613432727,"R",0.6,0.6,0.498471084953941,0.518046148180173,0.477640971903858,0.489675025588536,0.47886342892828,0.512973999607047,25452,16,15
"Senate",5,98391,46455,12520,6264,5907,348,170361,0.577544156232941,0.272685649884657,0.0734909985266581,0.036768978815574,0.0367161498230229,"CVAP",22,0.690493478267555,0.297975084644604,"D",39.3,-39.3,0.690856115891515,0.720138778212311,0.675489509483197,0.293423011291435,0.276318209123564,0.311079559081708,10699,28,3
"Senate",6,46511,13560,1852,984,98541,169,161326,0.288304427060734,0.0840534073862862,0.0114798606548232,0.00609945080148271,0.611866655095893,"CVAP",22,0.648975175185578,0.339762549731098,"D",30.9,-30.9,0.657378657378657,0.679744092721515,0.62938897532107,0.326232326232326,0.317281433901304,0.357768219395381,23027,26,5
"Senate",7,147315,32637,4223,3184,8331,232,196648,0.749130425938733,0.165966600219682,0.0214749196533908,0.0161913673162198,0.0435448110329116,"CVAP",22,0.358788034634623,0.631985587694791,"R",27.3,27.3,0.366054211084305,0.37722416385379,0.345936881800198,0.618694225776561,0.619559697702901,0.644844213649852,21903,5,26
"Senate",8,118745,38466,14934,8148,7541,598,189054,0.628100965861606,0.203465676473389,0.0789933035005871,0.0430987971690628,0.0430511917229998,"CVAP",22,0.615734085875345,0.371012197193493,"D",24.5,-24.5,0.633825944170772,0.646628026496117,0.591241186417245,0.345658263305322,0.349289058931019,0.394550733268816,25451,22,9
"Senate",9,98431,40472,11313,4056,5733,316,160852,0.611935195086166,0.251610175813792,0.0703317335190113,0.0252157262576779,0.0376059980603288,"CVAP",22,0.517424117301039,0.467869870045911,"D",5,-5,0.517219551969788,0.537412724562642,0.507532096335864,0.459027122135439,0.457644936063387,0.477403710992409,24183,18,13
"Senate",10,140750,23740,6039,4866,2666,215,178604,0.788056258538443,0.132919755436608,0.0338122326487649,0.0272446305793823,0.0161306577680231,"CVAP",22,0.3972999885569,0.592495580545586,"R",19.5,19.5,0.389769410753115,0.4183394893207,0.390545527076892,0.593694967383486,0.577324554360045,0.599481400219408,11744,9,22
"Senate",11,36830,69771,27380,4413,3891,333,142712,0.258072201356578,0.488893716015472,0.191854924603397,0.0309224171758507,0.029598071640787,"CVAP",22,0.720089249265534,0.267378782463873,"D",45.3,-45.3,0.750208512440173,0.747557871055592,0.691295306783186,0.233598090667625,0.249146488267914,0.293385275459977,4343,29,2
"Senate",12,119809,29734,11678,12163,4180,333,178100,0.67270634475014,0.166951151038742,0.0655699045480067,0.0682930937675463,0.0253396967995508,"CVAP",22,0.58388792208508,0.404048577204171,"D",18,-18,0.584684869636625,0.606530198266026,0.572168310218835,0.398532128926299,0.390066218707029,0.413797980591679,18569,20,11
"Senate",13,109544,27871,9955,14988,3097,188,166227,0.659002448459035,0.16766830899914,0.0598879845031192,0.0901658575321699,0.0197621325055496,"CVAP",22,0.499978495920294,0.488864235702142,"D",1.1,-1.1,0.50720607630337,0.517795179838769,0.487456363769519,0.478000413137781,0.478913105009907,0.499271712330439,10696,17,14
"Senate",14,118456,24166,6889,9382,1941,134,161707,0.732534769676019,0.149443128621519,0.0426017426580173,0.0580185149684306,0.012831850198198,"CVAP",22,0.414255052290536,0.575597413875292,"R",16.1,16.1,0.416565724712124,0.434342323609973,0.403056080420024,0.567380671276775,0.563018573684947,0.585995205269722,14707,10,21
"Senate",15,118468,29905,7835,5279,3103,318,165619,0.715304403480277,0.180565031789831,0.0473073741539316,0.0318743622410472,0.0206558426267518,"CVAP",22,0.353057295415896,0.637341250349983,"R",28.4,28.4,0.35619142821442,0.371036810902612,0.342500471273276,0.627722937231871,0.626108338456088,0.647766862855986,21899,3,28
"Senate",16,90179,54623,11508,2902,13928,1014,174747,0.516054638992372,0.312583334763973,0.0658552078147264,0.0166068659261675,0.0855064750753947,"CVAP",22,0.462173164647064,0.528319673759211,"R",6.6,6.6,0.472933273070918,0.479813602217491,0.447972891649925,0.511987427068781,0.517012814847547,0.542139226560258,14709,13,18
"Senate",17,136452,33310,5768,5818,1764,215,183899,0.741994246842017,0.181132034431944,0.0313650427680412,0.0316369311415505,0.0107613418235009,"CVAP",22,0.480621366394366,0.510191349799007,"R",3,3,0.471304999866099,0.500127331762908,0.475526566974228,0.51425376931523,0.497532947093653,0.514489341393573,16652,14,17
"Senate",18,131868,38363,8305,7785,3562,255,190364,0.692715009140384,0.201524447899813,0.0436269462713538,0.0408953373537013,0.0200510600743838,"CVAP",22,0.62026219535224,0.369155519409714,"D",25.1,-25.1,0.612577118735794,0.641266632059233,0.613602515306967,0.37314283652632,0.356183346538801,0.373647947286868,24253,23,8
"Senate",19,114751,45481,6464,3673,2809,419,174057,0.659272537157368,0.261299459372504,0.0371372596333385,0.0211022825855898,0.0185456488391734,"CVAP",22,0.389839174512623,0.600207253986004,"R",21,21,0.382830983148706,0.416508729763783,0.380008492569002,0.600838721249028,0.580219594058043,0.609885350318471,4233,8,23
"Senate",20,73693,81807,5919,5342,6703,264,174075,0.423340514146201,0.469952606635071,0.0340025850926325,0.030687921872756,0.0400229786011777,"CVAP",22,0.732980801108734,0.255429174423414,"D",47.8,-47.8,0.74568685248602,0.768415790492163,0.708910280728376,0.239769820971867,0.228504160485067,0.276721358118361,10704,30,1
"Senate",21,61333,84005,8089,3260,3524,250,161031,0.380876973998795,0.521669740608951,0.0502325639162646,0.0202445491861815,0.0234364811744323,"CVAP",22,0.613617369827646,0.3754894306049,"D",23.8,-23.8,0.634588681725194,0.646853531621889,0.58651363298175,0.34927869582269,0.350018078634198,0.401330473981356,15258,21,10
"Senate",22,41017,81143,16257,3688,2893,228,146246,0.280465790517347,0.554839106710611,0.111162014687581,0.025217783734256,0.0213407546189297,"CVAP",22,0.629572145774972,0.360104995444883,"D",26.9,-26.9,0.666449848669888,0.651595507621,0.6001216134045,0.318164923272978,0.3444157233265,0.388919667590028,24497,25,6
"Senate",23,49576,80213,5812,2275,8206,339,146568,0.338245728944927,0.547274984989902,0.03965394902025,0.0155218055782981,0.058300584029256,"CVAP",22,0.529633092901298,0.460876891588501,"D",6.9,-6.9,0.559522357475667,0.55076105426805,0.504124479930738,0.42451150196375,0.446220036877689,0.486388013756283,23038,19,12
"Senate",24,41818,69203,11365,3370,3587,165,129845,0.322060918787785,0.532966228965305,0.0875274365589742,0.025954022103277,0.0288959913743309,"CVAP",22,0.624313880369726,0.36405252487896,"D",26,-26,0.651426651090592,0.654357823278222,0.595735523555045,0.33143433244251,0.341317201357714,0.391729282857809,24241,24,7
"Senate",25,103691,55822,8794,3930,2802,302,175880,0.589555378667273,0.317386854673641,0.05,0.022344780532181,0.0176483966340687,"CVAP",22,0.358410913415809,0.63254067971624,"R",27.4,27.4,0.371977286971815,0.364321547148777,0.348672409771321,0.612522100300283,0.632649104524635,0.64249575702002,19572,4,27
"Senate",26,41817,63751,11595,4421,4618,157,126723,0.329987452948557,0.503073633042147,0.0914987808053787,0.0348871159931504,0.0376806104653457,"CVAP",22,0.664255736060647,0.323521891993646,"D",34.1,-34.1,0.685890257558791,0.695519990822004,0.637806347930896,0.296630039193729,0.299747605116733,0.348854961832061,24232,27,4
"Senate",27,120990,37260,7972,7355,3582,155,177918,0.680032374464641,0.209422318146562,0.0448071583538484,0.0413392686518508,0.0210040580492137,"CVAP",22,0.45048408619395,0.538832425096373,"R",8.8,8.8,0.452808353273874,0.473318036246733,0.437904977627597,0.530337176419404,0.522914953924684,0.551038785020701,18663,12,19
"Senate",28,151908,14253,4396,6362,1735,240,179332,0.84707692994,0.0794782860839114,0.0245131934066424,0.0354761001940535,0.011013093034149,"CVAP",22,0.387536851574134,0.605947810445036,"R",21.8,21.8,0.378251105340726,0.410041354569763,0.380927473193024,0.612190329145905,0.587151849329857,0.612224531652191,20688,7,24
"Senate",29,116569,39217,11851,5445,2464,574,176755,0.659494780911431,0.221872082826511,0.067047608271336,0.0308053520409607,0.0171876325987949,"CVAP",22,0.418604353689995,0.573088720671091,"R",15.4,15.4,0.431520379555747,0.434635712852077,0.404130661176078,0.555074401552728,0.562442853638411,0.587418813746611,23642,11,20
"Senate",30,155540,26107,2429,2104,5598,357,192812,0.806692529510611,0.135401323569072,0.0125977636246707,0.0109121838889696,0.0308850071572309,"CVAP",22,0.233682930912951,0.759259541176434,"R",52.6,52.6,0.240446811052515,0.252032344078562,0.221126284260363,0.747205297561142,0.744726744564157,0.772553061290219,25450,1,30
