"people_id","person_hash","state_id","party","legislator_name","first_name","middle_name","last_name","suffix","nickname","ftm_eid","votesmart_id","opensecrets_id","knowwho_pid","ballotpedia","bioguide_id","district_number","chamber","session_id","termination_date","leg_party_loyalty","leg_party_independence","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","leg_n_votes_missing","setting_party_loyalty","rank_independent_all","rank_independent_R","rank_independent_D","rank_partisan_leg_R","rank_partisan_leg_D"
16506,"1srgcgem",3,"R","Mark Finchem","Mark","W.","Finchem","","",15395133,153852,"",498517,"http://ballotpedia.org/Mark_Finchem","",1,"Senate",2155,NA,0.992202729044834,0.0136842105263158,513,509,398,4,25,13,1,0,"partisan_cross",13,6,NA,8,NA
20749,"jcn7y7ul",3,"R","Shawnna Bolick","Shawnna","","Bolick","","",6690566,123699,"",499858,"http://ballotpedia.org/Shawnna_Bolick","",2,"Senate",2155,NA,0.980769230769231,0.0112589559877175,520,510,427,10,14,11,5,0,"partisan_cross",18,8,NA,13,NA
4262,"dbmnjakz",3,"R","John Kavanagh","John","","Kavanagh","","",6671185,68209,"",248845,"http://ballotpedia.org/John_Kavanagh","",3,"Senate",2155,NA,0.992233009708738,0.00512820512820513,515,511,409,4,45,5,1,0,"partisan_cross",27,15,NA,7,NA
25452,"dr5qksmq",3,"R","Carine Werner","Carine","","Werner","","",59857863,216790,"",0,"http://ballotpedia.org/Carine_Werner","",4,"Senate",2155,NA,0.992015968063872,0.0117531831537708,501,497,497,4,11,12,0,0,"partisan_cross",17,7,NA,9,NA
10699,"00ilhkx8",3,"D","Lela Alston","Lela","","Alston","","",6412623,123722,"",293799,"http://ballotpedia.org/Lela_Alston","",5,"Senate",2155,NA,0.983213429256595,0.0130293159609121,417,410,400,7,80,12,12,0,"partisan_cross",14,NA,8,NA,3
23027,"yq0rt7ut",3,"D","Theresa Hatathlie","Theresa","","Hatathlie","","",54453008,201402,"",794943,"http://ballotpedia.org/Theresa_Hatathlie","",6,"Senate",2155,NA,0.977272727272727,0.0412946428571429,440,430,306,10,107,37,6,0,"partisan_cross",7,NA,4,NA,6
21903,"sxmwupeu",3,"R","Wendy Rogers","Wendy","","Rogers","","",17657680,123618,"",293784,"http://ballotpedia.org/Wendy_Rogers","",7,"Senate",2155,NA,0.990439770554493,0.0110253583241455,523,518,369,5,4,10,1,0,"partisan_cross",20,9,NA,10,NA
25451,"4k05dkh0",3,"D","Lauren Kuby","Lauren","H.","Kuby","","",8455851,156938,"",0,"http://ballotpedia.org/Lauren_Kuby","",8,"Senate",2155,NA,0.981916817359855,0.014720314033366,553,543,436,10,1,15,14,0,"partisan_cross",12,NA,7,NA,4
24183,"5ptjxpu8",3,"D","Eva Burch","Eva","","Burch","","",55437835,0,"",0,"http://ballotpedia.org/Eva_Burch","",9,"Senate",2155,NA,0.917647058823529,0.00384615384615385,85,78,126,7,305,2,2,0,"partisan_cross",28,NA,13,NA,12
11744,"k1eomfl0",3,"R","David Farnsworth","David","Christian","Farnsworth","","",23319205,3056,"",468293,"http://ballotpedia.org/David_Farnsworth","",10,"Senate",2155,NA,0.968253968253968,0.0754352030947776,567,549,387,18,0,78,2,0,"partisan_cross",2,2,NA,15,NA
4343,"3qr3nrop",3,"D","Catherine Miranda","Catherine","H.","Miranda","","",6507410,123736,"",309013,"http://ballotpedia.org/Catherine_Miranda","",11,"Senate",2155,NA,0.939784946236559,0.012514220705347,465,437,355,28,43,11,5,0,"partisan_cross",15,NA,9,NA,11
18569,"yjbr1xuh",3,"D","Denise Epstein","Denise","","Epstein","","Mitzi",8543206,153884,"",499850,"http://ballotpedia.org/Mitzi_Epstein","",12,"Senate",2155,NA,0.974358974358974,0.0557244174265451,468,456,414,12,36,55,14,0,"partisan_cross",4,NA,1,NA,7
10696,"p2utdp96",3,"R","Javan Mesnard","Javan","D.","Mesnard","","",6690618,123791,"",293809,"http://ballotpedia.org/J.D._Mesnard","",13,"Senate",2155,NA,0.995841995841996,0.015233949945593,481,479,403,2,18,14,3,0,"partisan_cross",10,5,NA,1,NA
14707,"7b79xusd",3,"R","Warren Petersen","Warren","H.","Petersen","","",9691346,141381,"",423641,"http://ballotpedia.org/Warren_Petersen","",14,"Senate",2155,NA,0.992610837438424,0.0664819944598338,406,403,266,3,2,48,0,0,"partisan_cross",3,3,NA,6,NA
21899,"hg5v5g4f",3,"R","Jake Hoffman","Jake","","Hoffman","","",45108367,192538,"",737892,"http://ballotpedia.org/Jake_Hoffman","",15,"Senate",2155,NA,0.848072562358277,0.202669902912621,441,374,186,67,25,167,5,0,"partisan_cross",1,1,NA,17,NA
14709,"1zol0gzp",3,"R","Thomas Shope","Thomas","R.","Shope","","T.J.",12719897,141366,"",423629,"http://ballotpedia.org/T.J._Shope","",16,"Senate",2155,NA,0.993963782696177,0.00205128205128205,497,494,463,3,11,2,2,0,"partisan_cross",30,17,NA,3,NA
16652,"1wdoytpk",3,"R","Vince Leach","Vince","","Leach","","",8465439,153854,"",499595,"http://ballotpedia.org/Vince_Leach","",17,"Senate",2155,NA,0.983402489626556,0.00717213114754098,482,474,466,8,18,7,3,0,"partisan_cross",25,13,NA,11,NA
24253,"3j0lmh9q",3,"D","Priya Sundareshan","Priya","","Sundareshan","","",55437853,0,"",0,"http://ballotpedia.org/Priya_Sundareshan","",18,"Senate",2155,NA,0.988713318284424,0.0318021201413428,443,438,288,5,83,27,8,0,"partisan_cross",8,NA,5,NA,1
4233,"ahn8t2a5",3,"R","David Gowan","David","","Gowan","","",6662273,28241,"",267669,"http://ballotpedia.org/David_Gowan","",19,"Senate",2155,NA,0.993119266055046,0.00570125427594071,436,433,386,3,50,5,0,0,"partisan_cross",26,14,NA,5,NA
10704,"6gxehb2d",3,"D","Sally Gonzales","Sally","Ann","Gonzales","","",12997768,12275,"",192949,"http://ballotpedia.org/Sally_Ann_Gonzales","",20,"Senate",2155,NA,0.987421383647799,0.0459183673469388,318,314,293,4,131,36,6,0,"partisan_cross",6,NA,3,NA,2
15258,"cckehia2",3,"D","Rosanna Gabaldon","Rosanna","","Gabaldon","","",12719881,141336,"",423590,"http://ballotpedia.org/Rosanna_Gabaldon","",21,"Senate",2155,NA,0.968926553672316,0.00869565217391304,354,343,380,11,172,8,6,0,"partisan_cross",23,NA,12,NA,8
24497,"drz35534",3,"D","Eva Diaz","Eva","","Diaz","","",56954593,0,"",821647,"http://ballotpedia.org/Eva_Diaz","",22,"Senate",2155,NA,0.979253112033195,0.0110864745011086,482,472,369,10,35,10,6,0,"partisan_cross",19,NA,11,NA,5
23038,"mfumiy1z",3,"D","Brian Fernandez","Brian","","Fernandez","","",12719884,200733,"",791873,"http://ballotpedia.org/Brian_Fernandez","",23,"Senate",2155,NA,0.843037974683544,0.015,395,333,416,62,163,15,11,0,"partisan_cross",11,NA,6,NA,13
24241,"i2ot2mya",3,"D","Analise Ortiz","Analise","","Ortiz","","",55437959,205629,"",0,"http://ballotpedia.org/Analise_Ortiz","",24,"Senate",2155,NA,0.95850622406639,0.0497787610619469,482,462,345,20,21,45,11,0,"partisan_cross",5,NA,2,NA,10
19572,"8x7vders",3,"R","Tim Dunn","Timothy","M.","Dunn","","Tim",8582459,178189,"",655560,"http://ballotpedia.org/Tim_Dunn_(Arizona)","",25,"Senate",2155,NA,0.994296577946768,0.00317124735729387,526,523,409,3,6,3,2,0,"partisan_cross",29,16,NA,2,NA
24232,"hsd5kmp5",3,"D","Flavio Bravo","Flavio","","Bravo","","",54951599,205633,"",0,"http://ballotpedia.org/Flavio_Bravo","",26,"Senate",2155,NA,0.964435146443515,0.0123583934088568,478,461,348,17,127,12,6,0,"partisan_cross",16,NA,10,NA,9
18663,"qbqdm9iz",3,"R","Kevin Payne","Kevin","","Payne","","",16622819,171801,"",584970,"http://ballotpedia.org/Kevin_Payne","",27,"Senate",2155,NA,0.983009708737864,0.0157384987893462,412,405,383,7,16,13,2,0,"partisan_cross",9,4,NA,12,NA
20688,"kqcpc7yb",3,"R","Frank Carroll","Frank","P.","Carroll","","",45362121,184604,"",667988,"http://ballotpedia.org/Frank_Carroll","",28,"Senate",2155,NA,0.9800796812749,0.00896860986547085,502,492,367,10,11,8,4,0,"partisan_cross",22,11,NA,14,NA
23642,"c3bauwnm",3,"R","Janae Shamp","Janae","","Shamp","","",55437865,0,"",0,"http://ballotpedia.org/Janae_Shamp","",29,"Senate",2155,NA,0.993890020366599,0.0106496272630458,491,488,393,3,43,10,2,0,"partisan_cross",21,10,NA,4,NA
25450,"lbedrxzb",3,"R","Hildy Angius","Hildy","","Angius","","",42115361,156980,"",0,"http://ballotpedia.org/Hildy_Angius","",30,"Senate",2155,NA,0.957589285714286,0.00823045267489712,448,429,514,19,2,8,0,0,"partisan_cross",24,12,NA,16,NA
4230,"c51ra3ja",3,"R","Steve Montenegro","Steve","B.","Montenegro","","",6676721,106507,"",252127,"http://ballotpedia.org/Steve_B._Montenegro","",29,"House",2155,NA,0.985185185185185,0.00784034212401996,405,399,814,6,172,11,1,0,"partisan_cross",44,26,NA,1,NA
4260,"201wjcrv",3,"R","Laurin Hendrix","Laurin","","Hendrix","","",12997918,106551,"",267649,"http://ballotpedia.org/Laurin_Hendrix","",14,"House",2155,NA,0.918981481481482,0.057277628032345,432,397,919,35,44,85,4,0,"partisan_cross",12,11,NA,27,NA
10680,"gi15mkto",3,"R","Justin Olson","Justin","","Olson","","",6690603,123766,"",241701,"http://ballotpedia.org/Justin_Olson","",10,"House",2155,NA,0.909090909090909,0.116557734204793,484,440,319,44,7,107,1,0,"partisan_cross",3,3,NA,29,NA
10708,"i0wzfopf",3,"R","Gail Griffin","Gail","","Griffin","","",12997808,12274,"",192945,"http://ballotpedia.org/Gail_Griffin","",19,"House",2155,NA,0.966183574879227,0.0252403846153846,414,400,296,14,100,21,1,0,"partisan_cross",28,17,NA,6,NA
14554,"416zgcsl",3,"D","Lupe Contreras","Lupe","Chavira","Contreras","","",12719919,141487,"",668296,"http://ballotpedia.org/Lupe_Contreras","",22,"House",2155,NA,0.910550458715596,0.00265957446808511,436,397,916,39,143,4,5,1,"partisan_cross",56,NA,25,NA,21
14555,"vyo4fuda",3,"D","Lydia Hernandez","Lydia","","Hernandez","","",12719943,123714,"",423738,"http://ballotpedia.org/Lydia_Hernandez","",24,"House",2155,NA,0.731818181818182,0.0069284064665127,440,322,351,118,65,6,4,1,"partisan_cross",48,NA,20,NA,27
14703,"ctr9du18",3,"R","David Livingston","David","Alan","Livingston","","",12719927,141496,"",423719,"http://ballotpedia.org/David_Livingston","",28,"House",2155,NA,0.946666666666667,0.0211764705882353,450,426,367,24,15,18,0,0,"partisan_cross",33,19,NA,22,NA
16648,"83oil9q3",3,"R","Tony Rivero","Tony","","Rivero","","",24748398,129363,"",500111,"http://ballotpedia.org/Tony_Rivero","",27,"House",2155,NA,0.95873786407767,0.0112923462986198,412,395,342,17,34,9,0,0,"partisan_cross",38,21,NA,14,NA
16649,"zqrtsxxg",3,"R","Jeff Weninger","Jeff","","Weninger","","",23317844,71915,"",499849,"http://ballotpedia.org/Jeff_Weninger","",13,"House",2155,NA,0.959227467811159,0.00943396226415094,466,447,465,19,13,9,1,0,"partisan_cross",40,23,NA,13,NA
20172,"w5qennsr",3,"R","Walter Blackman","Walter","","Blackman","","Walt",45362040,184551,"",668308,"http://ballotpedia.org/Walter_Blackman","",7,"House",2155,NA,0.952965235173824,0.0261506276150628,489,466,403,23,35,25,4,2,"partisan_cross",27,16,NA,18,NA
20249,"5zh0k6y4",3,"R","Leo Biasiucci","Leo","","Biasiucci","","",40621888,171694,"",585785,"http://ballotpedia.org/Leo_Biasiucci","",30,"House",2155,NA,0.961098398169336,0.0184331797235023,437,420,343,17,72,16,0,0,"partisan_cross",35,20,NA,10,NA
20571,"1mrf34tu",3,"D","Alma Hernandez","Alma","","Hernandez","","",23282612,184546,"",667957,"http://ballotpedia.org/Alma_Hernandez","",20,"House",2155,NA,0.740648379052369,0.00456100342075257,401,297,387,104,79,4,6,1,"partisan_cross",51,NA,22,NA,26
20754,"66nj9w8k",3,"D","Myron Tsosie","Myron","","Tsosie","","",45362047,184557,"",667239,"http://ballotpedia.org/Myron_Tsosie","",6,"House",2155,NA,0.779411764705882,0.00253807106598985,340,265,328,75,114,2,4,0,"partisan_cross",58,NA,26,NA,24
21898,"wa7d7rn6",3,"R","Joseph Chaplik","Joseph","","Chaplik","","",29102030,192551,"",737910,"http://ballotpedia.org/Joseph_Chaplik","",3,"House",2155,NA,0.877984084880637,0.143979057591623,377,331,190,46,85,110,2,0,"partisan_cross",1,1,NA,32,NA
21902,"kz2c17n7",3,"R","Beverly Pingerelli","Beverly","","Pingerelli","","",47233275,192549,"",737906,"http://ballotpedia.org/Beverly_Pingerelli","",28,"House",2155,NA,0.912429378531073,0.0803461063040791,354,323,280,31,108,65,2,0,"partisan_cross",8,8,NA,28,NA
21904,"q8q8gx7q",3,"R","Justin Wilmeth","Justin","","Wilmeth","","",46133238,192543,"",737898,"http://ballotpedia.org/Justin_Wilmeth","",2,"House",2155,NA,0.954976303317536,0.00375469336670839,422,403,368,19,6,3,0,0,"partisan_cross",52,30,NA,16,NA
22291,"nrt13gkj",3,"R","Quang Nguyen","Quang","H.","Nguyen","","",49622954,192521,"",737835,"http://ballotpedia.org/Quang_Nguyen","",1,"House",2155,NA,0.96421052631579,0.00981461286804798,475,458,424,17,5,9,4,1,"partisan_cross",39,22,NA,8,NA
22293,"b0nb1b3z",3,"D","Stephanie Stahl Hamilton","Stephanie","","Stahl Hamilton","","",49622988,192535,"",737858,"http://ballotpedia.org/Stephanie_Stahl_Hamilton","",21,"House",2155,NA,0.990588235294118,0.0284153005464481,425,421,361,4,97,26,6,2,"partisan_cross",23,NA,9,NA,1
23000,"rv9jrvuk",3,"R","Lupe Diaz","Lupe","","Diaz","","",0,200710,"",791761,"http://ballotpedia.org/Lupe_Diaz","",19,"House",2155,NA,0.964435146443515,0.0318681318681319,478,461,399,17,2,29,2,0,"partisan_cross",18,13,NA,7,NA
23001,"nt1sgqr1",3,"R","Teresa Martinez","Teresa","","Martinez","","",54453003,200411,"",515739,"http://ballotpedia.org/Teresa_Martinez","",16,"House",2155,NA,0.951648351648352,0.0080091533180778,455,433,358,22,53,7,1,0,"partisan_cross",43,25,NA,19,NA
23022,"4ngs3llm",3,"D","Sarah Liguori","Sarah","","Liguori","","",50604840,200339,"",789707,"http://ballotpedia.org/Sarah_Liguori","",5,"House",2155,NA,0.973684210526316,0.0326944757609921,456,444,390,12,5,29,7,0,"partisan_cross",17,NA,5,NA,10
23039,"t5xkaamp",3,"D","Christopher Mathis","Christopher","","Mathis","","",24748365,200881,"",792694,"http://ballotpedia.org/Christopher_Mathis","",18,"House",2155,NA,0.972916666666667,0.0165922144224633,480,467,1051,13,4,26,6,0,"partisan_cross",36,NA,16,NA,11
23050,"i7pywanp",3,"R","Neal Carter","Neal","","Carter","","",0,192531,"",737852,"http://ballotpedia.org/Neal_Carter","",15,"House",2155,NA,0.925170068027211,0.0446428571428571,441,408,941,33,8,65,1,0,"partisan_cross",14,12,NA,25,NA
23641,"wuhjcf77",3,"R","Selina Bliss","Selina","","Bliss","","",49649343,192519,"",0,"http://ballotpedia.org/Selina_Bliss","",1,"House",2155,NA,0.959641255605381,0.00767543859649123,446,428,445,18,10,7,4,1,"partisan_cross",46,28,NA,12,NA
23883,"zl20vt3o",3,"R","Matt Gress","Matt","","Gress","","",55437885,0,"",0,"http://ballotpedia.org/Matt_Gress","",4,"House",2155,NA,0.924611973392461,0.028125,451,417,425,34,56,27,1,0,"partisan_cross",24,15,NA,26,NA
24184,"kew6jpf6",3,"R","John Gillette","John","","Gillette","","",55437976,205641,"",0,"http://ballotpedia.org/John_Gillette","",30,"House",2155,NA,0.98343685300207,0.0077007700770077,483,475,406,8,8,7,5,2,"partisan_cross",45,27,NA,2,NA
24229,"f6hsbnx0",3,"D","Cesar Aguilar","Cesar","","Aguilar","","",55437963,205632,"",0,"http://ballotpedia.org/Cesar_Aguilar_(Arizona)","",26,"House",2155,NA,0.951653944020356,0.0240506329113924,393,374,301,19,64,19,13,0,"partisan_cross",31,NA,13,NA,15
24230,"qiybjn48",3,"D","Lorena Austin","Lorena","","Austin","","",12252750,205584,"",0,"http://ballotpedia.org/Lorena_Austin","",9,"House",2155,NA,0.990566037735849,0.024822695035461,424,420,371,4,26,21,4,0,"partisan_cross",29,NA,12,NA,2
24233,"tk6x3o95",3,"D","Patricia Contreras","Patricia","","Contreras","","Patty",55437911,205595,"",0,"http://ballotpedia.org/Patricia_Contreras","",12,"House",2155,NA,0.950537634408602,0.0214362272240086,465,442,424,23,11,20,13,0,"partisan_cross",32,NA,14,NA,16
24234,"b21xd5h8",3,"D","Oscar De Los Santos","Oscar","","De Los Santos","","",44899603,205590,"",0,"http://ballotpedia.org/Oscar_De_Los_Santos","",11,"House",2155,NA,0.990147783251232,0.00712758374910905,406,402,922,4,61,10,4,0,"partisan_cross",47,NA,19,NA,3
24235,"bmm0f5b6",3,"D","Nancy Gutierrez","Nancy","","Gutierrez","","",55437938,205615,"",0,"http://ballotpedia.org/Nancy_Gutierrez","",18,"House",2155,NA,0.98669623059867,0.040045766590389,451,445,367,6,16,35,5,0,"partisan_cross",15,NA,3,NA,5
24239,"3adva344",3,"R","Rachel Keshel","Rachel","","Keshel","","",55437931,205607,"",0,"http://ballotpedia.org/Rachel_Jones_(Arizona)","",17,"House",2155,NA,0.907975460122699,0.104477611940299,489,444,265,45,77,98,9,3,"partisan_cross",4,4,NA,31,NA
24240,"hy5cnszs",3,"R","Alexander Kolodin","Alexander","M.","Kolodin","","Alex",46115848,192510,"",0,"http://ballotpedia.org/Alexander_Kolodin","",3,"House",2155,NA,0.871227364185111,0.143009605122732,497,433,268,64,30,134,8,2,"partisan_cross",2,2,NA,33,NA
24242,"obizxxfp",3,"D","Mariana Sandoval","Mariana","","Sandoval","","",44901929,192539,"",0,"http://ballotpedia.org/Mariana_Sandoval","",23,"House",2155,NA,0.980851063829787,0.0740740740740741,470,461,327,9,21,66,7,0,"partisan_cross",9,NA,1,NA,6
24246,"xewqg8pr",3,"D","Anastasia Travers","Anastasia","","Travers","","Stacey",55437914,205596,"",0,"http://ballotpedia.org/Anastasia_Travers","",12,"House",2155,NA,0.918256130790191,0.0296296296296296,367,337,320,30,92,24,7,0,"partisan_cross",21,NA,8,NA,20
24247,"ovahya35",3,"D","Seth Blattman","Seth","","Blattman","","",49622936,192511,"",0,"http://ballotpedia.org/Seth_Blattman","",9,"House",2155,NA,0.946859903381642,0.00236406619385343,414,392,345,22,80,2,5,0,"partisan_cross",59,NA,27,NA,17
24248,"iap1of6m",3,"D","Consuelo Hernandez","Consuelo","","Hernandez","","",55437947,205621,"",0,"http://ballotpedia.org/Consuelo_Hernandez","",21,"House",2155,NA,0.753148614609572,0.00645161290322581,397,299,336,98,30,5,7,0,"partisan_cross",49,NA,21,NA,25
24251,"gh36vofs",3,"R","Michele Pena","Michele","","Pena","","",56954604,210264,"",0,"http://ballotpedia.org/Michele_Pena","",23,"House",2155,NA,0.967816091954023,0.00476190476190476,435,421,351,14,50,4,0,0,"partisan_cross",50,29,NA,4,NA
24254,"tyn524kf",3,"R","David Marshall","David","","Marshall","","",55437895,205581,"",0,"http://ballotpedia.org/David_Marshall_(Arizona)","",7,"House",2155,NA,0.942307692307692,0.0675381263616558,468,441,371,27,13,62,4,1,"partisan_cross",10,9,NA,23,NA
24370,"ap3n54z9",3,"R","Michael Carbone","Michael","","Carbone","","",55437960,205630,"",0,"http://ballotpedia.org/Michael_Carbone","",25,"House",2155,NA,0.961538461538462,0.00280504908835905,416,400,987,16,19,4,0,0,"partisan_cross",55,31,NA,9,NA
24498,"v0sl3neh",3,"D","Mae Peshlakai","Jamescita","","Peshlakai","","Mae",55437891,141360,"",808745,"http://ballotpedia.org/Mae_Peshlakai","",6,"House",2155,NA,0.958549222797927,0.0480192076830732,386,370,267,16,131,40,9,0,"partisan_cross",13,NA,2,NA,14
24939,"pfppfr5u",3,"R","Julie Willoughby","Julie","","Willoughby","","",49746279,184592,"",0,"http://ballotpedia.org/Julie_Willoughby","",13,"House",2155,NA,0.960280373831776,0.00264550264550265,428,411,1023,17,57,4,0,0,"partisan_cross",57,32,NA,11,NA
24946,"h5a9jqce",3,"D","Quanta Crews","Quanta","","Crews","","",0,0,"",0,"http://ballotpedia.org/Quanta_Crews","",26,"House",2155,NA,0.977722772277228,0.0298136645962733,404,395,292,9,81,24,4,0,"partisan_cross",20,NA,7,NA,9
24950,"gzmjmovd",3,"D","Betty Villegas","Betty","J.","Villegas","","",45361940,0,"",0,"http://ballotpedia.org/","",20,"House",2155,NA,0.97887323943662,0.0360144057623049,426,417,357,9,9,30,11,1,"partisan_cross",16,NA,4,NA,8
25172,"6h4wfgx5",3,"D","Elda Luna-Najera","Elda","","Luna-Najera","","",0,0,"",0,"http://ballotpedia.org/Elda_Luna-NÃ¡jera","",22,"House",2155,NA,0.863529411764706,0.00828402366863905,425,367,399,58,9,7,5,0,"partisan_cross",42,NA,18,NA,22
25195,"ue4k9gmv",3,"D","Junelle Cavero","Junelle","","Cavero","","",55437838,0,"",0,"http://ballotpedia.org/Junelle_Cavero","",11,"House",2155,NA,0.923287671232877,0.0138888888888889,365,337,330,28,75,11,11,0,"partisan_cross",37,NA,17,NA,19
25436,"eha8t5fv",3,"D","Anna Abeytia","Anna","","Abeytia","","",55437955,205626,"",0,"http://ballotpedia.org/Anna_Abeytia","",24,"House",2155,NA,0.967065868263473,0.0312876052948255,334,323,254,11,213,26,4,0,"partisan_cross",19,NA,6,NA,13
25437,"4qhk7agc",3,"R","Pamela Carter","Pamela","","Carter","","",59858002,216864,"",0,"http://ballotpedia.org/Pamela_Carter","",4,"House",2155,NA,0.953333333333333,0.0288350634371396,450,429,368,21,23,25,1,0,"partisan_cross",22,14,NA,17,NA
25438,"yz2pll5o",3,"D","Janeen Connolly","Janeen","","Connolly","","",58204725,216874,"",0,"http://ballotpedia.org/Janeen_Connolly","",8,"House",2155,NA,0.926582278481013,0.0189873417721519,395,366,348,29,20,15,12,0,"partisan_cross",34,NA,15,NA,18
25439,"g6vhjf8w",3,"R","Lisa Fink","Lisa","","Fink","","",59857975,216913,"",0,"http://ballotpedia.org/Lisa_Fink","",27,"House",2155,NA,0.948164146868251,0.0620067643742954,463,439,359,24,5,55,5,2,"partisan_cross",11,10,NA,20,NA
25440,"zx6c540v",3,"D","Brian Garcia","Brian","","Garcia","","",59857944,216876,"",0,"http://ballotpedia.org/Brian_Garcia","",8,"House",2155,NA,0.98936170212766,0.0269989615784008,470,465,356,5,107,26,4,3,"partisan_cross",26,NA,11,NA,4
25441,"9x44rqdn",3,"R","Ralph Heap","Ralph","","Heap","","",50602463,153821,"",0,"http://ballotpedia.org/Ralph_Heap","",10,"House",2155,NA,0.908665105386417,0.0909090909090909,427,388,321,39,49,80,3,0,"partisan_cross",5,5,NA,30,NA
25442,"9wbio8z2",3,"R","Nickolas Kupper","Nickolas","","Kupper","","Nick",59858094,216912,"",0,"http://ballotpedia.org/Nick_Kupper","",25,"House",2155,NA,0.957446808510638,0.0246781115879828,470,450,401,20,34,23,4,0,"partisan_cross",30,18,NA,15,NA
25443,"1xtym7um",3,"R","Chris Lopez","Chris","","Lopez","","",6502244,216893,"",0,"http://ballotpedia.org/Chris_Lopez_(Arizona)","",16,"House",2155,NA,0.976694915254237,0.00212089077412513,472,461,387,11,80,2,2,0,"partisan_cross",60,33,NA,3,NA
25444,"51sbj9j7",3,"D","Aaron Marquez","Aaron","","Marquez","","",59858070,153823,"",0,"http://ballotpedia.org/Aaron_Marquez","",5,"House",2155,NA,0.979550102249489,0.027027027027027,489,479,387,10,20,25,4,3,"partisan_cross",25,NA,10,NA,7
25445,"slzz0o19",3,"R","Khyl Powell","Khyl","","Powell","","",41769935,216888,"",0,"http://ballotpedia.org/Khyl_Powell","",14,"House",2155,NA,0.931106471816284,0.0851528384279476,479,446,340,33,15,78,4,2,"partisan_cross",6,6,NA,24,NA
25446,"yxzu6vbu",3,"D","Stephanie Simacek","Stephanie","","Simacek","","",59858136,216814,"",0,"http://ballotpedia.org/Stephanie_Simacek","",2,"House",2155,NA,0.971128608923885,0.0035377358490566,381,370,319,11,142,3,3,0,"partisan_cross",54,NA,24,NA,12
25447,"pbgh37he",3,"R","James Taylor","James","","Taylor","","",60359248,219503,"",0,"http://ballotpedia.org/James_Taylor_(Arizona)","",29,"House",2155,NA,0.967741935483871,0.00910125142207053,465,450,404,15,1,8,1,0,"partisan_cross",41,24,NA,5,NA
25448,"ov36rcm9",3,"D","Kevin Volk","Kevin","","Volk","","",59857974,216894,"",0,"http://ballotpedia.org/Kevin_Volk","",17,"House",2155,NA,0.807058823529412,0.00355450236966825,425,343,401,82,10,3,5,0,"partisan_cross",53,NA,23,NA,23
25449,"wapyapu3",3,"R","Michael Way","Michael","","Way","","",59857984,216890,"",0,"http://ballotpedia.org/Michael_Way","",15,"House",2155,NA,0.947474747474747,0.0851505711318795,495,469,364,26,17,82,5,2,"partisan_cross",7,7,NA,21,NA
