"party","vote_text","dem_majority","gop_majority","partisan_vote_type","vote_type_other"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"D","Nay","Y","Equal","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"D","Yea","N","Equal","Other","Oppo Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"D","Nay","Y","Equal","Other","Oppo Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"D","Nay","Y","Equal","Other","Oppo Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Equal","Other","Same Party Split"
"R","Yea","Equal","Equal","Other","Same Party Split"
"R","Yea","Equal","Equal","Other","Same Party Split"
"R","Nay","Equal","Equal","Other","Same Party Split"
"R","Nay","Equal","Equal","Other","Same Party Split"
"D","Nay","Equal","Equal","Other","Same Party Split"
"R","Yea","Equal","Equal","Other","Same Party Split"
"R","Nay","Equal","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Yea","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"R","Nay","Y","Equal","Other","Same Party Split"
"D","Yea","N","Equal","Other","Oppo Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"R","Nay","N","Equal","Other","Same Party Split"
"R","Yea","N","Equal","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
